number,text,name,souce,type ,,,
1,"Вашему вниманию предлагается проект федерального закона, внесённый депутатам Государственной Думы. Проект федерального закона разработан в целях регулирования перемещения физическими лицами по территории Российской Федерации никотинсодержащей продукции, которая не маркирована в соответствии с законодательством Российской Федерации. Неконтролируемый оборот никотинсодержащей продукции - это угроза интересам Российской Федерации: прежде всего, это ценовая доступность нелегальной продукции; это приобщение тех, кто никогда не курил, никогда не использовал эту продукцию, возникновение зависимости; ну и, конечно же, это ущерб экономическим интересам, поскольку это недополученные акцизы и налоги.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=410190&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Что сделано в этом направлении? В целях противодействия нелегальному обороту табачной продукции Государственной Думой в 2020 году уже внесены изменения, которыми предусмотрены ограничения по объёму перемещения немаркированной табачной продукции, - это блок сигарет, 50 сигар и сигарилл. Кроме того, учитывая то, что технический прогресс очень серьёзно в последние годы затронул эту сферу, в законодательство внесено определение понятия ""никотинсодержащая продукция"". Это связано с тем, что, если ранее употребление табачной продукции в основном было связано с горением, жеванием, сейчас мы говорим о том, что это нагрев, аэрозоль. Эти изменения были необходимы. И по аналогии с этими изменениями внесены изменения, которые регулируют вопрос перемещения немаркированной никотинсодержащей продукции.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=410190&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Отдельным законопроектом, который сейчас находится в Государственной Думе, будет установлена административная ответственность за невыполнение закона в этой сфере.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=410190&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
2,"Я очень сожалею, что коллеги из оппозиционных фракций не указали самый главный мотив этого законопроекта. Сегодня исторический день в Государственной Думе: 20-миллионная умма мусульман в Российской Федерации сегодня получает своё удовлетворение. В течение уже не менее пяти лет я, как депутат Государственной Думы, получал значительное количество соответствующих обращений в свой адрес: граждане, исповедующие ислам, имеющие свои ценности, не имели возможности пользоваться действующими инструментами по этическим соображениям. Поэтому наша фракция относится к данному проекту федерального закона в первую очередь как к удовлетворению потребностей россиян и выполнению их наказа, того, о чём они просили.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=407842&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Почему ещё важен этот законопроект? Потому что в нём заложены ценности... В первую очередь это честность, этика как главная основа экономических принципов в исламе. Это социальная ответственность, потому что разделяются риски между финансистами и клиентами. Это материальность, потому что финансирование обязательно увязывается с реальными активами, - и тогда не повторятся события 2008 и 2009 годов. Это недопущение участия в финансировании неэтичного бизнеса, связанного с алкоголем, табаком, оружием. И это принцип, в основе которого кредиты должны укреплять заёмщика, а не создавать порочный круг его задолженности.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=407842&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Все мы наблюдаем активное движение исламских финансовых институтов: в последние годы они выросли более чем на 12 процентов. Спрос на исламские финансовые продукты исходит не только от мусульманского населения, но и от немусульманских инвесторов и клиентов. Великобритания - 2 миллиона мусульман - 30 лет назад в течение короткого времени изменила законодательство. Сингапур: 2004 год - полностью изменённое законодательство. Мы видели, как Казахстан масштабной программой в течение трёх лет изменил своё законодательство.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=407842&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Фракция ""ЕДИНАЯ РОССИЯ"", безусловно, поддержит данный проект федерального закона, благодарит Анатолия Геннадьевича Аксакова за то, что он активно взялся за этот проект, и примет активнейшее участие в его доработке и в скорейшем принятии.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=407842&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
3,"Проект федерального закона ""О бюджете Фонда пенсионного и социального страхования Российской Федерации на 2023 год и на плановый период..."" подготовлен к рассмотрению в третьем чтении. Все необходимые экспертизы получены. У Правового управления Аппарата Государственной Думы замечаний нет. Все материалы размещены в автоматизированной системе.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Бюджет Фонда пенсионного и социального страхования сбалансирован, устойчив. Бюджет с профицитом на все три года, 99 процентов расходной части бюджета - это публичные нормативные обязательства. Дополнительную устойчивость бюджету фонда обеспечит решение Государственной Думы о введении единого тарифа страхового взноса для государственных внебюджетных фондов. Наиболее важным и системным решением этого бюджетного цикла является преобразование двух фондов с 1 января 2023 года - тема, о которой многократно говорили в стенах Государственной Думы.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Принятие закона о бюджете Фонда пенсионного и социального страхования в полном объёме обеспечит новое полномочие фонда - выплату ежемесячного пособия в связи с рождением и воспитанием ребёнка. Единые условия выплат детских пособий позволят поддержать все нуждающиеся семьи, в которых воспитывается более 9 миллионов 200 тысяч детей.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
